term,Negative freq,Plot freq,Positive freq,score,cnt,logcnt
be,265,43,198,-0.014092777451556016,463,8.854868383260238
commitment,1,1,0,-0.007751027598355844,1,0.0
how,56,11,45,-0.07193188490898417,101,6.6582114827517955
cool,13,1,7,-0.046623605402231365,20,4.321928094887363
gradually,0,3,3,0.022842043452730474,3,1.5849625007211563
hope,11,5,14,0.022196124486200813,25,4.643856189774724
hugh,4,2,7,0.02260716382853787,11,3.4594316186372978
school,13,21,9,-0.031356429829712276,22,4.459431618637297
teaches,1,3,0,-0.007751027598355844,1,0.0
one,188,51,194,0.03217850851438642,382,8.57742882803575
starts,10,10,4,-0.04644744568408691,14,3.8073549220576037
novel,10,1,7,-0.023546682325308287,17,4.08746284125034
s,749,226,808,-0.007281268349970671,1557,10.604553229079038
him,18,62,27,0.06758661186142101,45,5.491853096329675
free,6,4,3,-0.023311802701115682,9,3.1699250014423126
start,11,7,5,-0.04650616559013506,16,4.0
son,0,17,3,0.022842043452730474,3,1.5849625007211563
alone,10,4,6,-0.031180270111567827,16,4.0
on,207,137,217,0.02425132119788609,424,8.727920454563199
finally,9,8,8,-0.008220786846741046,17,4.08746284125034
himself,9,19,6,-0.023487962419260135,15,3.9068905956085187
up,127,51,98,-0.020434527304756367,225,7.813781191217037
become,10,16,16,0.04515560775102759,26,4.700439718141093
will,80,38,92,0.06435701702877272,172,7.426264754702098
single,8,6,7,-0.008162066940692901,15,3.9068905956085187
continued,0,2,1,0.007574867880211391,1,0.0
12,1,5,4,0.022783323546682326,5,2.321928094887362
they,89,102,53,-0.2030534351145038,142,7.149747119504682
ability,3,1,8,0.03793305930710511,11,3.4594316186372978
he,65,157,93,0.16429829712272453,158,7.303780748177103
hip,12,5,3,-0.06946564885496184,15,3.9068905956085187
based,6,10,14,0.06065766294773928,20,4.321928094887363
realizes,1,3,1,-0.0001174398120963021,2,1.0
irresponsible,2,2,1,-0.007809747504403995,3,1.5849625007211563
women,7,17,5,-0.01573693482090429,12,3.5849625007211565
comedy,89,7,90,0.025954198473282508,179,7.483815777264256
married,1,7,1,-0.0001174398120963021,2,1.0
result,8,3,5,-0.023429242513211983,13,3.700439718141092
many,45,7,46,0.004932472108044594,91,6.507794640198696
ways,11,4,15,0.029829712272460354,26,4.700439718141093
day,14,25,31,0.12889019377568994,45,5.491853096329675
problems,7,1,5,-0.01573693482090429,12,3.5849625007211565
are,154,62,161,0.03253082795067519,315,8.29920801838728
grow,2,2,1,-0.007809747504403995,3,1.5849625007211563
kid,7,2,12,0.0376981796829125,19,4.247927513443585
with,317,170,441,0.03904873752201998,758,9.566054038171092
behind,5,12,8,0.022548443922489725,13,3.700439718141092
ask,4,1,2,-0.015560775102759838,6,2.584962500721156
friends,3,19,3,-0.0002348796241926042,6,2.584962500721156
string,4,1,2,-0.015560775102759838,6,2.584962500721156
rich,2,4,11,0.06852613035819143,13,3.700439718141092
them,46,28,44,-0.018027011156782125,90,6.491853096329675
child,5,5,3,-0.01561949500880799,8,3.0
life,42,73,66,0.1577803875513799,108,6.754887502163469
marcus,3,5,1,-0.015502055196711688,4,2.0
starring,3,1,4,0.00739870816206694,7,2.807354922057604
opposite,2,2,0,-0.015443335290663537,2,1.0
popular,0,6,9,0.06864357017028773,9,3.1699250014423126
father,1,26,4,0.022783323546682326,5,2.321928094887362
involved,8,2,3,-0.03869641808573107,11,3.4594316186372978
boy,9,14,17,0.060481503229594835,26,4.700439718141093
that,602,151,617,0.0005284791544333256,1219,10.251482410620213
drama,28,6,53,0.1738696418085731,81,6.339850002884625
who,88,107,112,0.10234879624192605,200,7.643856189774724
search,4,8,5,0.007339988256018788,9,3.1699250014423126
odd,5,3,3,-0.01561949500880799,8,3.0
meet,2,4,2,-0.00017615971814445228,4,2.0
cold,10,1,5,-0.03881385789782737,15,3.9068905956085187
but,372,75,382,0.008396946564885432,754,9.558420713268665
grant,7,4,21,0.10640046975924838,28,4.807354922057604
leaves,13,5,4,-0.06952436876100998,17,4.08746284125034
available,0,1,2,0.015208455666470933,2,1.0
leave,13,6,15,0.014445096887844969,28,4.807354922057604
hornby,0,1,2,0.015208455666470933,2,1.0
british,2,6,2,-0.00017615971814445228,4,2.0
imaginary,1,1,0,-0.007751027598355844,1,0.0
has,163,92,178,0.0630064591896653,341,8.413627929024173
nicholson,1,1,11,0.07621843805049912,12,3.5849625007211565
come,27,10,26,-0.009277745155607753,53,5.7279204545632
daughter,2,15,6,0.030358191426893714,8,3.0
care,18,3,10,-0.0621843805049912,28,4.807354922057604
deal,8,3,11,0.02237228420434527,19,4.247927513443585
failure,6,2,3,-0.023311802701115682,9,3.1699250014423126
schmidt,1,1,10,0.06858485026423958,11,3.4594316186372978
does,40,9,55,0.09682912507339991,95,6.569855608330948
enters,1,1,1,-0.0001174398120963021,2,1.0
terms,3,2,12,0.06846741045214327,15,3.9068905956085187
warren,0,1,2,0.015208455666470933,2,1.0
wife,3,10,1,-0.015502055196711688,4,2.0
soon,5,17,2,-0.02325308279506753,7,2.807354922057604
future,9,10,6,-0.023487962419260135,15,3.9068905956085187
ambiguous,1,1,1,-0.0001174398120963021,2,1.0
passes,3,1,2,-0.007868467410452145,5,2.321928094887362
away,24,10,15,-0.07017028772753965,39,5.285402218862249
marriage,2,5,1,-0.007809747504403995,3,1.5849625007211563
not,204,30,161,-0.04439224897240168,365,8.51175265376738
susan,0,1,2,0.015208455666470933,2,1.0
fiction,6,1,7,0.007222548443922484,13,3.700439718141092
book,11,4,22,0.08326482677627714,33,5.044394119358453
rare,3,4,20,0.1295361127422196,23,4.523561956057013
dealer,1,6,0,-0.007751027598355844,1,0.0
orchid,0,1,1,0.007574867880211391,1,0.0
this,388,46,319,-0.02982971227246034,707,9.4655664048094
clones,1,2,4,0.022783323546682326,5,2.321928094887362
attempt,11,7,4,-0.0541397533763946,15,3.9068905956085187
see,44,6,47,0.02025836758661187,91,6.507794640198696
movie,424,10,313,-0.052789195537287115,737,9.52552080909507
somewhat,3,4,9,0.04556664709336465,12,3.5849625007211565
it,801,88,826,0.00029359953024077345,1627,10.667998535672528
cage,6,3,3,-0.023311802701115682,9,3.1699250014423126
into,78,45,84,0.02630651790957128,162,7.339850002884624
action,84,7,48,-0.2028772753963593,132,7.044394119358453
struggle,1,4,5,0.030416911332941866,6,2.584962500721156
story,102,32,132,0.08672930123311806,234,7.870364719583405
screenwriter,5,2,5,-0.00035231943628890455,10,3.3219280948873626
real,29,15,41,0.08984145625366996,70,6.129283016944967
john,23,16,15,-0.06247798003523196,38,5.247927513443585
non,4,3,5,0.007339988256018788,9,3.1699250014423126
cooper,2,2,1,-0.007809747504403995,3,1.5849625007211563
true,13,13,27,0.10604815032295947,40,5.321928094887363
we,64,8,72,0.0498532002348796,136,7.08746284125034
account,1,1,3,0.015149735760422781,4,2.0
kaufman,0,3,12,0.09154433352906635,12,3.5849625007211565
adaptation,5,1,11,0.04544920728126835,16,4.0
then,30,20,23,-0.05525543159130947,53,5.7279204545632
orlean,0,1,1,0.007574867880211391,1,0.0
instead,32,7,7,-0.1927774515560775,39,5.285402218862249
evil,8,14,4,-0.031062830299471524,12,3.5849625007211565
great,23,5,61,0.2657662947739283,84,6.39231742277876
ali,3,2,1,-0.015502055196711688,4,2.0
government,1,9,0,-0.007751027598355844,1,0.0
voice,2,3,3,0.0074574280681150885,5,2.321928094887362
by,201,105,197,0.016735173223722866,398,8.63662462054365
g,1,1,1,-0.0001174398120963021,2,1.0
down,36,24,28,-0.06324133881385788,64,6.0
than,175,26,174,0.03229594832648264,349,8.447083226209653
plot,65,3,34,-0.20974750440399298,99,6.6293566200796095
becomes,16,14,7,-0.06970052847915445,23,4.523561956057013
pawn,1,1,0,-0.007751027598355844,1,0.0
prime,3,3,2,-0.007868467410452145,5,2.321928094887362
nation,1,3,1,-0.0001174398120963021,2,1.0
however,7,17,4,-0.02337052260716383,11,3.4594316186372978
more,194,34,170,-0.006106870229007688,364,8.507794640198696
ever,40,5,35,-0.04057545507927185,75,6.22881869049588
youth,0,2,2,0.015208455666470933,2,1.0
making,19,10,23,0.029359953024075153,42,5.392317422778761
bringing,2,1,6,0.030358191426893714,8,3.0
caught,1,3,3,0.015149735760422781,4,2.0
where,39,20,22,-0.13211978860833826,61,5.930737337562887
skipped,1,1,0,-0.007751027598355844,1,0.0
hunter,0,3,1,0.007574867880211391,1,0.0
aside,4,1,6,0.014973576042278329,10,3.3219280948873626
team,7,9,5,-0.01573693482090429,12,3.5849625007211565
differences,1,5,2,0.0075161479741632405,3,1.5849625007211563
put,11,6,8,-0.02360540223135643,19,4.247927513443585
their,53,99,73,0.1190252495596007,126,6.977279923499917
wind,4,1,1,-0.023194362889019382,5,2.321928094887362
witness,0,2,2,0.015208455666470933,2,1.0
scam,1,1,0,-0.007751027598355844,1,0.0
works,10,6,26,0.12149148561362302,36,5.169925001442312
emotional,16,3,24,0.060070463887257786,40,5.321928094887363
together,16,22,23,0.05243687610099823,39,5.285402218862249
guy,10,4,2,-0.061714621256606,12,3.5849625007211565
joy,2,1,5,0.022724603640634174,7,2.807354922057604
supermarket,1,1,0,-0.007751027598355844,1,0.0
unexpected,1,4,8,0.053317674691720496,9,3.1699250014423126
philosophical,2,1,7,0.037991779213153255,9,3.1699250014423126
stories,4,3,8,0.030240751614797418,12,3.5849625007211565
whom,4,5,4,-0.00029359953024075264,8,3.0
tragedy,4,4,8,0.030240751614797418,12,3.5849625007211565
estate,1,2,0,-0.007751027598355844,1,0.0
class,9,4,11,0.014679976512037576,20,4.321928094887363
dry,4,1,7,0.02260716382853787,11,3.4594316186372978
aggressive,0,2,1,0.007574867880211391,1,0.0
over,60,19,32,-0.20193775689958898,92,6.523561956057013
lives,6,13,12,0.045390487375220195,18,4.169925001442312
love,25,39,61,0.25038167938931294,86,6.426264754702098
out,117,66,93,-0.0280093951849677,210,7.714245517666122
nothing,58,5,29,-0.2094539048737522,87,6.442943495848729
people,41,16,28,-0.10170287727539637,69,6.10852445677817
taxi,0,2,2,0.015208455666470933,2,1.0
housing,0,1,1,0.007574867880211391,1,0.0
rediscover,0,1,1,0.007574867880211391,1,0.0
gentle,2,2,6,0.030358191426893714,8,3.0
tells,3,8,4,0.00739870816206694,7,2.807354922057604
home,20,21,13,-0.05466823253082796,33,5.044394119358453
journey,2,9,9,0.053258954785672344,11,3.4594316186372978
working,4,11,9,0.03787433940105696,13,3.700439718141092
gone,16,2,6,-0.07733411626541398,22,4.459431618637297
run,18,11,8,-0.07745155607751028,26,4.700439718141093
london,1,5,1,-0.0001174398120963021,2,1.0
or,130,16,94,-0.03576042278332359,224,7.807354922057604
experience,8,7,11,0.02237228420434527,19,4.247927513443585
brought,0,6,4,0.03047563123899002,4,2.0
long,51,12,24,-0.20146799765120374,75,6.22881869049588
family,21,34,43,0.1666470933646506,64,6.0
also,28,20,46,0.13570170287727537,74,6.209453365628951
set,19,19,11,-0.06224310041103935,30,4.906890595608519
some,73,20,89,0.08755137991779216,162,7.339850002884624
checkout,1,1,0,-0.007751027598355844,1,0.0
driver,2,2,2,-0.00017615971814445228,4,2.0
occurs,2,1,1,-0.007809747504403995,3,1.5849625007211563
range,2,1,3,0.0074574280681150885,5,2.321928094887362
prison,3,17,2,-0.007868467410452145,5,2.321928094887362
niro,15,2,9,-0.04674104521432766,24,4.584962500721157
help,4,20,9,0.03787433940105696,13,3.700439718141092
stock,6,1,4,-0.015678214914856138,10,3.3219280948873626
serious,13,3,12,-0.008455666470933654,25,4.643856189774724
dr,1,7,1,-0.0001174398120963021,2,1.0
crystal,3,1,2,-0.007868467410452145,5,2.321928094887362
paul,3,4,3,-0.0002348796241926042,6,2.584962500721156
back,27,25,23,-0.03217850851438639,50,5.643856189774724
finds,6,23,8,0.014856136230182032,14,3.8073549220576037
naturally,2,1,0,-0.015443335290663537,2,1.0
ben,4,11,0,-0.030827950675278923,4,2.0
well,70,8,81,0.04950088079859083,151,7.238404739325079
needs,7,8,6,-0.00810334703464475,13,3.700439718141092
excess,2,1,1,-0.007809747504403995,3,1.5849625007211563
stress,1,1,0,-0.007751027598355844,1,0.0
de,32,4,40,0.05913094539048741,72,6.169925001442312
returns,0,7,2,0.015208455666470933,2,1.0
practice,0,1,2,0.015208455666470933,2,1.0
need,18,6,21,0.021785085143863764,39,5.285402218862249
gets,27,6,24,-0.024544920728126834,51,5.672425341971496
through,45,9,41,-0.033235466823253124,86,6.426264754702098
derek,1,1,1,-0.0001174398120963021,2,1.0
sent,0,18,1,0.007574867880211391,1,0.0
prone,0,1,1,0.007574867880211391,1,0.0
naval,0,1,1,0.007574867880211391,1,0.0
horrific,1,2,0,-0.007751027598355844,1,0.0
luke,0,1,1,0.007574867880211391,1,0.0
doctor,1,3,1,-0.0001174398120963021,2,1.0
painful,7,3,5,-0.01573693482090429,12,3.5849625007211565
first,38,26,62,0.15801526717557252,100,6.643856189774725
breaks,2,2,2,-0.00017615971814445228,4,2.0
violent,5,4,3,-0.01561949500880799,8,3.0
reveals,1,2,5,0.030416911332941866,6,2.584962500721156
washington,3,2,12,0.06846741045214327,15,3.9068905956085187
find,15,31,22,0.05249559600704637,37,5.20945336562895
never,58,14,64,0.034820904286553156,122,6.930737337562887
eventually,8,5,5,-0.023429242513211983,13,3.700439718141092
outbursts,3,1,0,-0.02313564298297123,3,1.5849625007211563
refusing,0,1,1,0.007574867880211391,1,0.0
quest,0,5,3,0.022842043452730474,3,1.5849625007211563
open,3,6,9,0.04556664709336465,12,3.5849625007211565
childhood,1,5,0,-0.007751027598355844,1,0.0
knew,1,4,3,0.015149735760422781,4,2.0
epic,4,4,9,0.03787433940105696,13,3.700439718141092
historical,1,1,7,0.04568408690546095,8,3.0
armenian,2,1,2,-0.00017615971814445228,4,2.0
within,1,4,5,0.030416911332941866,6,2.584962500721156
1915,1,1,1,-0.0001174398120963021,2,1.0
line,14,1,12,-0.016147974163241346,26,4.700439718141093
film,272,26,361,0.039283617146212646,633,9.306061689428342
contemporary,2,2,8,0.0456253669994128,10,3.3219280948873626
holocaust,1,3,0,-0.007751027598355844,1,0.0
production,20,2,7,-0.10046975924838522,27,4.754887502163469
transforms,0,1,1,0.007574867880211391,1,0.0
follows,3,8,4,0.00739870816206694,7,2.807354922057604
hired,0,3,1,0.007574867880211391,1,0.0
world,11,42,26,0.11379917792131533,37,5.20945336562895
girlfriend,0,7,1,0.007574867880211391,1,0.0
connect,3,1,3,-0.0002348796241926042,6,2.584962500721156
track,1,7,1,-0.0001174398120963021,2,1.0
escaped,2,3,1,-0.007809747504403995,3,1.5849625007211563
master,2,5,1,-0.007809747504403995,3,1.5849625007211563
1975,3,2,0,-0.02313564298297123,3,1.5849625007211563
mini,0,2,2,0.015208455666470933,2,1.0
powers,5,6,11,0.04544920728126835,16,4.0
plan,2,10,1,-0.007809747504403995,3,1.5849625007211563
large,6,2,5,-0.008044627128596597,11,3.4594316186372978
me,35,2,25,-0.07844979448032885,60,5.906890595608519
time,97,34,85,-0.027598355842630706,182,7.507794640198696
somehow,4,1,6,0.014973576042278329,10,3.3219280948873626
save,10,8,1,-0.06934820904286554,11,3.4594316186372978
austin,6,2,9,0.022489724016441573,15,3.9068905956085187
security,1,6,0,-0.007751027598355844,1,0.0
stops,2,3,2,-0.00017615971814445228,4,2.0
chases,5,2,2,-0.02325308279506753,7,2.807354922057604
domination,0,1,1,0.007574867880211391,1,0.0
requires,1,1,0,-0.007751027598355844,1,0.0
goldmember,4,2,4,-0.00029359953024075264,8,3.0
england,1,1,2,0.0075161479741632405,3,1.5849625007211563
amount,3,2,4,0.00739870816206694,7,2.807354922057604
particular,4,2,1,-0.023194362889019382,5,2.321928094887362
villains,1,2,2,0.0075161479741632405,3,1.5849625007211563
travel,1,2,2,0.0075161479741632405,3,1.5849625007211563
have,173,38,126,-0.05161479741632413,299,8.224001674198107
spy,19,3,12,-0.05460951262477981,31,4.954196310386876
kidnapping,1,1,0,-0.007751027598355844,1,0.0
document,0,3,4,0.03047563123899002,4,2.0
spirit,7,2,17,0.07586611861421022,24,4.584962500721157
fame,0,6,3,0.022842043452730474,3,1.5849625007211563
having,10,8,11,0.006987668819729884,21,4.392317422778761
60s,1,1,6,0.03805049911920141,7,2.807354922057604
officially,1,1,0,-0.007751027598355844,1,0.0
technician,0,1,1,0.007574867880211391,1,0.0
crane,2,2,5,0.022724603640634174,7,2.807354922057604
very,57,12,57,-0.0032883147386964517,114,6.832890014164742
heroes,4,2,6,0.014973576042278329,10,3.3219280948873626
carpenter,3,1,1,-0.015502055196711688,4,2.0
greg,1,1,1,-0.0001174398120963021,2,1.0
70s,3,2,1,-0.015502055196711688,4,2.0
led,0,7,1,0.007574867880211391,1,0.0
video,39,4,11,-0.21608925425719322,50,5.643856189774724
hogan,0,1,1,0.007574867880211391,1,0.0
may,39,5,75,0.22665883734586023,114,6.832890014164742
association,1,1,0,-0.007751027598355844,1,0.0
star,26,10,33,0.05184967704051671,59,5.882643049361842
murder,10,19,4,-0.04644744568408691,14,3.8073549220576037
bob,2,2,2,-0.00017615971814445228,4,2.0
numerous,1,3,1,-0.0001174398120963021,2,1.0
unsolved,0,2,1,0.007574867880211391,1,0.0
room,6,7,7,0.007222548443922484,13,3.700439718141092
exploits,2,1,1,-0.007809747504403995,3,1.5849625007211563
1978,1,1,0,-0.007751027598355844,1,0.0
kinnear,0,1,9,0.06864357017028773,9,3.1699250014423126
remains,8,2,8,-0.0005284791544333534,16,4.0
so,178,21,110,-0.08990017615971813,288,8.169925001442312
days,15,5,6,-0.06964180857310628,21,4.392317422778761
american,9,14,33,0.1826189078097475,42,5.392317422778761
no,130,22,65,-0.20369935408103346,195,7.607330313749611
rescue,2,2,1,-0.007809747504403995,3,1.5849625007211563
harvard,11,3,0,-0.08467410452143277,11,3.4594316186372978
city,7,14,7,-0.0004697592483852084,14,3.8073549220576037
was,69,28,38,-0.20998238402818553,107,6.7414669864011465
african,3,5,4,0.00739870816206694,7,2.807354922057604
finish,6,1,7,0.007222548443922484,13,3.700439718141092
enemy,1,6,1,-0.0001174398120963021,2,1.0
like,219,12,147,-0.08267762771579568,366,8.515699838284043
hopkins,9,3,3,-0.046388725778038764,12,3.5849625007211565
train,3,5,2,-0.007868467410452145,5,2.321928094887362
killed,1,12,1,-0.0001174398120963021,2,1.0
worked,5,1,4,-0.007985907222548445,9,3.1699250014423126
york,6,17,11,0.037756899588960655,17,4.08746284125034
sends,0,6,1,0.007574867880211391,1,0.0
jake,0,4,1,0.007574867880211391,1,0.0
k,9,4,9,-0.0005871990604815053,18,4.169925001442312
arms,1,3,1,-0.0001174398120963021,2,1.0
idea,22,5,9,-0.10058719906048151,31,4.954196310386876
nine,1,1,0,-0.007751027598355844,1,0.0
coming,7,5,8,0.007163828537874339,15,3.9068905956085187
rock,15,3,10,-0.03910745742806812,25,4.643856189774724
during,10,13,5,-0.03881385789782737,15,3.9068905956085187
nuclear,2,5,0,-0.015443335290663537,2,1.0
anthony,6,2,1,-0.03857897827363477,7,2.807354922057604
chris,8,4,4,-0.031062830299471524,12,3.5849625007211565
act,14,4,10,-0.03141514973576043,24,4.584962500721157
secret,1,15,1,-0.0001174398120963021,2,1.0
identity,1,5,2,0.0075161479741632405,3,1.5849625007211563
agent,1,16,1,-0.0001174398120963021,2,1.0
cia,0,7,1,0.007574867880211391,1,0.0
place,13,9,17,0.029712272460364064,30,4.906890595608519
twin,0,7,2,0.015208455666470933,2,1.0
absolutely,6,1,9,0.022489724016441573,15,3.9068905956085187
terrorist,4,1,0,-0.030827950675278923,4,2.0
let,13,4,3,-0.07715795654726954,16,4.0
street,3,7,4,0.00739870816206694,7,2.807354922057604
wise,7,2,5,-0.01573693482090429,12,3.5849625007211565
brother,3,11,10,0.05320023487962419,13,3.700439718141092
turner,0,1,1,0.007574867880211391,1,0.0
michael,11,16,16,0.037463300058719895,27,4.754887502163469
experienced,2,1,2,-0.00017615971814445228,4,2.0
talk,4,3,3,-0.007927187316500297,7,2.807354922057604
wants,10,17,4,-0.04644744568408691,14,3.8073549220576037
had,37,10,20,-0.13200234879624195,57,5.832890014164742
learn,2,6,2,-0.00017615971814445228,4,2.0
hustler,1,2,1,-0.0001174398120963021,2,1.0
terrorists,1,1,0,-0.007751027598355844,1,0.0
fill,2,1,1,-0.007809747504403995,3,1.5849625007211563
project,12,2,8,-0.031297709923664124,20,4.321928094887363
what,98,23,127,0.09448032883147384,225,7.813781191217037
jonathan,0,2,1,0.007574867880211391,1,0.0
ecks,7,1,0,-0.053904873752202,7,2.807354922057604
developed,0,2,1,0.007574867880211391,1,0.0
combat,2,3,0,-0.015443335290663537,2,1.0
order,5,8,3,-0.01561949500880799,8,3.0
dia,1,1,0,-0.007751027598355844,1,0.0
antonio,2,1,0,-0.015443335290663537,2,1.0
can,136,21,101,-0.028185554903112142,237,7.88874324889826
liu,2,1,0,-0.015443335290663537,2,1.0
device,1,2,0,-0.007751027598355844,1,0.0
join,1,1,0,-0.007751027598355844,1,0.0
kill,4,7,1,-0.023194362889019382,5,2.321928094887362
common,4,4,3,-0.007927187316500297,7,2.807354922057604
victims,3,2,2,-0.007868467410452145,5,2.321928094887362
banderas,3,1,0,-0.02313564298297123,3,1.5849625007211563
lucy,5,5,0,-0.038520258367586616,5,2.321928094887362
sever,6,1,0,-0.04621256605989431,6,2.584962500721156
south,3,11,1,-0.015502055196711688,4,2.0
shot,15,6,8,-0.0543746330005872,23,4.523561956057013
vision,1,3,10,0.06858485026423958,11,3.4594316186372978
desperately,4,1,4,-0.00029359953024075264,8,3.0
chicago,4,9,10,0.0455079271873165,14,3.8073549220576037
business,9,6,9,-0.0005871990604815053,18,4.169925001442312
stand,11,1,6,-0.03887257780387552,17,4.08746284125034
cutting,2,2,3,0.0074574280681150885,5,2.321928094887362
get,43,32,36,-0.0560187903699354,79,6.303780748177103
con,4,2,3,-0.007927187316500297,7,2.807354922057604
t,309,23,205,-0.03722842043452734,514,9.005624549193879
eve,1,8,1,-0.0001174398120963021,2,1.0
fellow,0,4,2,0.015208455666470933,2,1.0
seem,25,3,17,-0.06259541984732825,42,5.392317422778761
entertainer,1,1,0,-0.007751027598355844,1,0.0
trying,18,13,11,-0.05455079271873166,29,4.857980995127573
against,4,21,8,0.030240751614797418,12,3.5849625007211565
ex,0,2,1,0.007574867880211391,1,0.0
legacy,0,4,5,0.03810921902524956,5,2.321928094887362
struggling,0,2,2,0.015208455666470933,2,1.0
struggles,0,4,2,0.015208455666470933,2,1.0
selling,0,1,1,0.007574867880211391,1,0.0
strong,11,2,20,0.06799765120375806,31,4.954196310386876
shop,2,5,3,0.0074574280681150885,5,2.321928094887362
calvin,1,6,1,-0.0001174398120963021,2,1.0
waste,12,1,1,-0.08473282442748092,13,3.700439718141092
side,11,2,9,-0.01597181444509689,20,4.321928094887363
stay,8,6,5,-0.023429242513211983,13,3.700439718141092
slowly,2,3,2,-0.00017615971814445228,4,2.0
complex,4,4,11,0.05314151497357604,15,3.9068905956085187
edged,1,1,0,-0.007751027598355844,1,0.0
smart,8,3,24,0.12160892542571933,32,5.0
notion,1,1,1,-0.0001174398120963021,2,1.0
there,127,24,79,-0.11967116852613036,206,7.6865005271832185
just,145,27,76,-0.1733998825601879,221,7.787902559391432
white,7,9,15,0.060598943041691125,22,4.459431618637297
woman,6,21,10,0.030123311802701114,16,4.0
thomas,0,1,4,0.03047563123899002,4,2.0
hair,3,2,4,0.00739870816206694,7,2.807354922057604
sold,1,1,0,-0.007751027598355844,1,0.0
highly,3,2,12,0.06846741045214327,15,3.9068905956085187
cube,4,1,6,0.014973576042278329,10,3.3219280948873626
eddie,4,3,2,-0.015560775102759838,6,2.584962500721156
jokes,28,1,11,-0.13147386964180857,39,5.285402218862249
local,2,11,3,0.0074574280681150885,5,2.321928094887362
filled,5,1,12,0.05308279506752789,17,4.08746284125034
hard,32,3,28,-0.03247210804462711,60,5.906890595608519
straight,13,2,7,-0.046623605402231365,20,4.321928094887363
