term,fresh freq,plot freq,rotten freq,fresh rank,rotten rank,sum freq,z score
nick,1,10,1,5516,5577,12,-0.014723778828486401
him,27,62,18,13258,13159,107,0.8529852824161567
londoner,0,2,0,38,42,2,0.0
that,617,151,602,13453,13453,1370,-0.15909503834139976
british,2,6,2,9813,9977,10,-0.01647489628460019
who,112,107,88,13420,13405,307,1.1146022716865942
day,31,25,14,13283,13071,70,1.3633456339725794
grow,1,2,2,5517,9978,5,-0.35625284693458137
be,198,43,265,13440,13442,506,-2.4155407875601003
hugh,7,2,4,12508,11831,13,0.7900576650208149
hip,3,5,12,11055,12988,20,-1.9609028587249488
behind,8,12,5,12641,12164,25,0.557420863267433
novel,7,1,10,12509,12866,18,-0.7076765173902272
become,16,16,10,13104,12867,42,0.7673292938125668
parent,0,2,0,39,43,2,0.0
in,676,312,622,13454,13454,1610,0.5531113006164043
on,217,137,207,13442,13439,561,0.06743366710330738
leave,15,6,13,13079,13026,34,0.2275163492768995
they,53,102,89,13368,13407,244,-2.116717051594379
responsibilities,0,2,0,40,44,2,0.0
he,93,157,65,13412,13385,315,1.3673723599747192
for,376,152,364,13449,13448,892,-0.030156420246348688
passing,0,1,0,41,45,1,0.0
odd,3,3,5,11056,12165,11,-0.6559393007468834
thirties,0,1,0,42,46,1,0.0
start,5,7,11,12077,12931,23,-0.8815350326730633
life,66,73,42,13388,13337,181,1.6701046491194251
ways,15,4,11,13080,12932,30,0.5688878479673081
son,3,17,0,11057,47,20,0.7453129770440392
based,14,10,6,13049,12390,30,0.8866280028976795
one,194,51,188,13438,13434,433,-0.03650729665883269
lightman,0,1,0,43,48,1,0.0
gradually,3,3,0,11058,49,6,1.2626862880492078
hope,14,5,11,13050,12933,30,0.39859215783695673
attending,0,1,0,44,50,1,0.0
starring,4,1,3,11694,11223,8,0.28747527456283095
father,4,26,1,11695,5578,31,0.7371498272151017
marcus,1,5,3,5518,11224,9,-0.8640445736095743
drama,53,6,28,13369,13265,87,2.513006758086646
ask,2,1,4,9814,11832,7,-0.3927585508287711
rich,11,4,2,12902,9979,17,1.851942880639982
women,5,17,7,12078,12572,29,-0.27728219546729327
leaves,4,5,13,11696,13027,22,-1.925808150915249
married,1,7,1,5519,5579,9,-0.012398824979864543
not,161,30,204,13432,13438,395,-1.6304865042271424
warren,2,1,0,9815,51,3,0.8717006951889997
has,178,92,163,13437,13429,433,0.3729614013130521
away,15,10,24,13081,13227,49,-1.2165865628291193
come,26,10,27,13250,13252,63,-0.210919786479626
daughter,6,15,2,12323,9980,23,1.0176374737432308
does,55,9,40,13372,13332,104,1.0426651219992593
future,6,10,9,12324,12802,25,-0.5098684582337092
deal,11,3,8,12903,12704,22,0.4645751248715765
wife,1,10,3,5520,11225,14,-0.5509353063146191
soon,2,17,5,9816,12166,24,-0.6432682794123129
nicholson,11,1,1,12904,5580,13,2.2917934480293503
enters,1,1,1,5521,5581,3,-0.02043944553985308
ambiguous,1,1,1,5522,5582,3,-0.023198552988058587
passes,2,1,3,9817,11226,6,-0.3978293494817558
failure,3,2,6,11059,12391,11,-0.7723479443470914
care,10,3,18,12835,13160,31,-0.9724397012345176
schmidt,10,1,1,12836,5583,12,2.1901105007614623
marriage,1,5,2,5523,9981,8,-0.3405033682032134
retirement,0,4,0,45,52,4,0.0
terms,12,2,3,12967,11227,17,1.009790337658042
orlean,1,1,0,5524,53,2,0.4394917181215125
susan,2,1,0,9818,54,3,0.8002822611649958
this,319,46,388,13446,13450,753,-2.193551962090616
adapt,0,3,0,46,55,3,0.0
into,84,45,78,13402,13399,207,0.19207628142607272
cage,3,3,6,11060,12392,12,-0.9667284878790784
we,72,8,64,13393,13384,144,0.2667308475481292
adaptation,11,1,5,12905,12167,17,1.3523512892457996
see,47,6,44,13354,13341,97,0.0883712038879849
struggle,5,4,1,12079,5584,10,1.294839432071197
action,48,7,84,13355,13403,139,-2.9477516050326775
movie,313,10,424,13444,13451,747,-4.466733282661511
presumably,0,1,0,47,56,1,0.0
clones,4,2,1,11697,5585,7,1.1639665416431753
kaufman,12,3,0,12968,57,15,1.8066017748018106
orchids,0,1,0,48,58,1,0.0
attempt,4,7,11,11698,12934,22,-1.5736831244900378
thief,0,2,0,49,59,2,0.0
streep,0,1,0,50,60,1,0.0
orchid,1,1,0,5525,61,2,0.6813667337089278
non,5,3,4,12080,11833,12,0.11735909711040339
dealer,0,6,1,51,5586,7,-0.38778488978498893
screenwriter,5,2,5,12081,12168,12,-0.05628482306550821
then,23,20,30,13221,13282,73,-0.6919228681642613
sells,0,2,0,52,62,2,0.0
plant,0,2,0,53,63,2,0.0
true,27,13,13,13259,13028,53,1.6920861126470494
story,132,32,102,13424,13412,266,1.5865754842644209
cooper,1,2,2,5526,9982,5,-0.44015747419809614
collectors,0,1,0,54,64,1,0.0
book,22,4,11,13209,12935,37,1.0197930782751004
laroche,0,1,0,55,65,1,0.0
real,41,15,29,13329,13273,85,0.9280539528344292
somewhat,9,4,3,12751,11228,16,1.438218745509544
fiction,7,1,6,12510,12393,14,0.15909912667958506
account,3,1,1,11061,5587,5,0.27948899761034113
it,826,88,801,13457,13457,1715,-0.09248254480806527
rare,20,4,3,13181,11229,27,2.856830610151312
john,15,16,23,13082,13216,54,-0.9651225306947545
pawn,0,1,1,56,5588,2,-0.7491085187747202
down,28,24,36,13263,13317,88,-0.8638723333841194
youth,2,2,0,9819,66,4,0.5425418695364773
chancellor,0,3,0,57,67,3,0.0
great,61,5,23,13382,13217,89,2.963902163326436
ali,1,2,3,5527,11230,6,-0.8339896872544255
voice,3,3,2,11062,9983,8,0.20964843568009245
overthrow,0,1,0,58,68,1,0.0
plot,34,3,65,13308,13386,102,-3.1746911354941596
unwittingly,0,1,0,59,69,1,0.0
by,197,105,201,13439,13437,503,-0.33575549112830105
instead,7,7,32,12511,13299,46,-3.4233346722339815
g,1,1,1,5528,5589,3,-0.005064127952213275
nation,1,3,1,5529,5590,5,-0.010632974320515604
becomes,7,14,16,12512,13120,37,-1.7197748916287934
more,170,34,194,13435,13436,398,-1.1615895985312625
making,23,10,19,13222,13174,52,0.39153403953335486
than,174,26,175,13436,13432,375,-0.34178830264344634
realness,0,1,0,60,70,1,0.0
bringing,6,1,2,12325,9984,9,1.1177888427776412
embraced,0,1,0,61,71,1,0.0
minister,0,3,0,62,72,3,0.0
government,0,9,1,63,5591,10,-0.15142423768952004
prime,2,3,3,9820,11231,8,-0.2997807355787571
evil,4,14,8,11699,12705,26,-0.9980778571754751
ever,35,5,40,13311,13333,80,-0.6465995430734781
however,4,17,7,11700,12573,28,-0.47084944258385764
britain,0,1,0,64,73,1,0.0
bail,0,1,0,65,74,1,0.0
wind,1,1,4,5530,11834,6,-0.8136546469785153
warehouse,0,1,0,66,75,1,0.0
caught,3,3,1,11063,5592,7,0.6830996587514822
looters,0,1,0,67,76,1,0.0
their,73,99,53,13394,13366,225,1.0350103445200973
scam,0,1,1,68,5593,2,-0.694314195230696
put,8,6,11,12642,12936,25,-0.5055323094674619
detain,0,1,0,69,77,1,0.0
trail,0,3,0,70,78,3,0.0
team,5,9,7,12082,12574,21,-0.31742769893705663
deserted,0,2,0,71,79,2,0.0
conman,0,1,0,72,80,1,0.0
bounty,0,3,0,73,81,3,0.0
hunter,1,3,0,5531,82,4,0.36273553550356596
midst,0,2,0,74,83,2,0.0
skipped,0,1,1,75,5594,2,-0.7541993825980366
differences,2,5,1,9821,5595,8,0.32667148176565824
witness,2,2,0,9822,84,4,0.8758072456403528
diamond,0,1,0,76,85,1,0.0
aside,6,1,4,12326,11835,11,0.512546314582185
where,22,20,39,13210,13328,81,-1.5362914091216735
experience,11,7,8,12906,12706,26,0.3820746660803402
tragedy,8,4,4,12643,11836,16,1.0265809329170144
working,9,11,4,12752,11837,24,0.7123447212554859
stories,8,3,4,12644,11838,15,0.6234090295851077
elderly,0,3,0,77,86,3,0.0
nothing,29,5,58,13270,13373,92,-2.971869045922051
family,43,34,21,13342,13198,98,1.9065257444180466
gone,6,2,16,12327,13121,24,-1.8758699559417764
class,11,4,9,12907,12803,24,0.21010855059117356
journey,9,9,2,12753,9985,20,1.6817579069927955
gentle,6,2,2,12328,9986,10,1.2138036742148997
london,1,5,1,5532,5596,7,-0.0068278049575789665
joy,5,1,2,12083,9987,8,0.8756378380109149
weekend,0,3,0,78,87,3,0.0
neighbors,0,1,0,79,88,1,0.0
guy,2,4,10,9823,12868,16,-1.7192515218547992
rediscover,1,1,0,5533,89,2,0.6258511219374044
rory,0,1,0,80,90,1,0.0
occurs,1,1,2,5534,9988,4,-0.4127090947636001
lives,12,13,6,12969,12394,31,1.0812607635839997
whom,4,5,4,11701,11839,13,-0.038374639167527876
brought,4,6,0,11702,91,10,1.0908744958610208
love,61,39,25,13383,13234,125,2.996264197833194
some,89,20,73,13409,13396,182,0.782747858454992
run,8,11,18,12645,13161,37,-1.45467542433808
people,28,16,41,13264,13335,85,-1.086153970294395
works,26,6,10,13251,12869,42,2.0063352674940624
or,94,16,130,13414,13419,240,-1.4375359039323958
unexpected,8,4,1,12646,5597,13,1.9062921715105885
cleans,0,1,0,81,92,1,0.0
long,24,12,51,13230,13360,87,-2.4765948873014394
rachel,0,2,0,82,93,2,0.0
taxi,2,2,0,9824,94,4,0.975364411300057
home,13,21,20,13016,13188,54,-0.434345485129787
set,11,19,19,12908,13175,49,-0.8660225057393953
supermarket,0,1,1,83,5598,2,-0.7338032372248315
checkout,0,1,1,84,5599,2,-0.36413598415100396
estate,0,2,1,85,5600,3,-0.1668733461188709
philosophical,7,1,2,12513,9989,10,1.461029340890074
out,93,66,117,13413,13416,276,-1.4473204865773737
partner,0,11,0,86,95,11,0.0
dry,7,1,4,12514,11840,12,0.6614906566900952
housing,1,1,0,5535,96,2,0.26836913709261123
unemployed,0,1,0,87,97,1,0.0
over,32,19,60,13289,13380,111,-2.1426851155702935
together,23,22,16,13223,13122,61,0.817457000942098
range,3,1,2,11064,9990,6,0.15970071013780113
aggressive,1,2,0,5536,98,3,0.5959073393852443
also,46,20,28,13351,13266,94,1.1606075459841891
penny,0,4,0,88,99,4,0.0
tells,4,8,3,11703,11232,15,0.2716500546556116
phil,0,3,0,89,100,3,0.0
emotional,24,3,16,13231,13123,43,1.107179705859536
driver,2,2,2,9825,9991,6,-0.019030224864495453
stress,0,1,1,90,5601,2,-0.3964239607449637
needs,6,8,7,12329,12575,21,-0.196545594184115
well,81,8,70,13400,13393,159,0.5478519212385754
serious,12,3,13,12970,13029,28,-0.25177323441244853
inherited,0,2,0,91,101,2,0.0
prison,2,17,3,9826,11233,22,-0.37537608764451486
stock,4,1,6,11704,12395,11,-0.315558846247984
paul,3,4,3,11065,11234,10,-0.021977072626751727
naturally,0,1,2,92,9992,3,-0.9439343756199793
excess,1,1,2,5537,9993,4,-0.40648499556972745
returns,2,7,0,9827,102,9,0.47839491113417487
niro,9,2,15,12754,13096,26,-1.2933589673829036
practice,2,1,0,9828,103,3,0.4386661937138493
help,9,20,4,12755,11841,33,0.3975608123740989
gets,24,6,27,13232,13253,57,-0.49986040843634344
back,23,25,27,13224,13254,75,-0.3945598285742356
dr,1,7,1,5538,5602,9,-0.010448436359368683
sobel,0,2,0,93,104,2,0.0
finds,8,23,6,12647,12396,37,0.4173065801791179
vitti,0,1,0,94,105,1,0.0
mafia,0,2,0,95,106,2,0.0
need,21,6,18,13201,13162,45,0.22173952597699395
de,40,4,32,13326,13300,76,0.567816743219692
analyst,0,1,0,96,107,1,0.0
ben,0,11,4,97,11842,15,-1.2869887878395183
crystal,2,1,3,9829,11235,6,-0.3241350924975552
counseling,0,1,0,98,108,1,0.0
violent,3,4,5,11066,12169,12,-0.6646468743455235
through,41,9,45,13330,13346,95,-0.4399883316802143
eventually,5,5,8,12084,12707,18,-0.7844445888465255
childhood,0,5,1,99,5603,6,-0.5206487625194349
knew,3,4,1,11067,5604,8,0.5845185014216132
never,64,14,58,13386,13374,136,0.3063386457732895
prone,1,1,0,5539,109,2,0.7071178987022083
confronts,0,1,0,100,110,1,0.0
naval,1,1,0,5540,111,2,0.5802067448501157
open,9,6,3,12756,11236,18,0.7261587305671503
washington,12,2,3,12971,11237,17,1.3547202244514835
derek,1,1,1,5541,5605,3,-0.019733859188288426
reveals,5,2,1,12085,5606,8,1.345638924345541
psychiatrist,0,2,0,101,112,2,0.0
quest,3,5,0,11068,113,8,1.1418800369821205
guidance,0,4,0,102,114,4,0.0
horrific,0,2,1,103,5607,3,-0.7418905012289437
outbursts,0,1,3,104,11238,4,-0.8151592981656434
painful,5,3,7,12086,12576,15,-0.607338742503113
find,22,31,15,13211,13097,68,0.5270093394438621
doctor,1,3,1,5542,5608,5,-0.011117345861026322
first,62,26,38,13384,13324,126,1.4825590983080092
breaks,2,2,2,9830,9994,6,-0.026460625747298565
sent,1,18,0,5543,115,19,0.24741794787843535
sailor,0,1,0,105,116,1,0.0
luke,1,1,0,5544,117,2,0.5497618578919042
refusing,1,1,0,5545,118,2,0.7223575313087492
film,361,26,272,13448,13443,659,3.0235455118050583
line,12,1,14,12972,13072,27,-0.2663940831141036
hired,1,3,0,5546,119,4,0.6144384988777271
epic,9,4,4,12757,11843,17,1.2320347966521652
production,7,2,20,12515,13189,29,-1.9516531881317025
contemporary,8,2,2,12648,9995,12,1.4264152419205571
follows,4,8,3,11705,11239,15,0.22888426776638174
armenian,2,1,2,9831,9996,5,-0.033643900258707414
within,5,4,1,12087,5609,10,0.4942984512968996
holocaust,0,3,1,106,5610,4,-0.6561582924956932
historical,7,1,1,12516,5611,9,1.3864325952176586
transforms,1,1,0,5547,120,2,0.7281972802381076
kidnapping,0,1,1,107,5612,2,-0.7498047411227149
domination,1,1,0,5548,121,2,0.669885040578555
stops,2,3,2,9832,9997,7,-0.02957191814635017
somehow,6,1,4,12330,11844,11,0.5242374468766478
austin,9,2,6,12758,12397,17,0.5868685267763071
scheme,0,4,0,108,122,4,0.0
duo,0,2,0,109,123,2,0.0
formulate,0,1,0,110,124,1,0.0
requests,0,1,0,111,125,1,0.0
foxy,0,1,0,112,126,1,0.0
villains,2,2,1,9833,5613,5,0.5118528189539144
goldmember,4,2,4,11706,11845,10,-0.050922461272466316
me,25,2,35,13242,13313,62,-0.8230950762231757
nigel,0,1,0,113,127,1,0.0
travel,2,2,1,9834,5614,5,0.11773672813952407
have,126,38,173,13422,13431,337,-2.0825031218453605
world,26,42,11,13252,12937,79,1.2577550436554081
england,2,1,1,9835,5615,4,0.22485036118437984
mini,2,2,0,9836,128,4,0.535649400972885
plan,1,10,2,5549,9998,13,-0.17237127047505807
time,85,34,97,13404,13409,216,-0.7882776788087025
requires,0,1,1,114,5616,2,-0.30094673804130345
girlfriend,1,7,0,5550,129,8,0.6179189167883603
save,1,8,10,5551,12870,19,-1.2834190815622393
chases,2,2,5,9837,12170,9,-1.1313740860363932
maximum,0,1,0,115,130,1,0.0
security,0,6,1,116,5617,7,-0.1436705032002158
particular,1,2,4,5552,11846,7,-0.6813042414791802
master,1,5,2,5553,9999,8,-0.26170346252987564
spy,12,3,19,12973,13176,34,-1.2629279223461292
cleopatra,0,1,0,117,131,1,0.0
track,1,7,1,5554,5618,9,-0.007067391181687244
large,5,2,6,12088,12398,13,-0.1757642895757487
escaped,1,3,2,5555,10000,6,-0.546253312110214
powers,11,6,5,12909,12171,22,1.2509471061011679
connect,3,1,3,11069,11240,7,-0.027346994039589758
amount,4,2,3,11707,11241,9,0.16910671769671248
video,11,4,39,12910,13329,54,-2.531652906503184
crane,5,2,2,12089,10001,9,0.9897434897906712
arizona,0,1,0,118,132,1,0.0
unsolved,1,2,0,5556,133,3,0.6822161806293295
led,1,7,0,5557,134,8,0.2943371863928956
numerous,1,3,1,5558,5619,5,-0.014466560044510354
motel,0,3,0,119,135,3,0.0
star,33,10,26,13299,13243,69,0.6427481637838649
fame,3,6,0,11070,136,9,1.1942020159152287
affairs,0,2,0,120,137,2,0.0
spirit,17,2,7,13129,12577,26,1.66693679552115
officially,0,1,1,121,5620,2,-0.612773997013885
carpenter,1,1,3,5559,11242,5,-0.8946779260152613
teamed,0,2,0,122,138,2,0.0
remains,8,2,8,12649,12708,18,-0.062280217742740514
freewheeling,0,1,0,123,139,1,0.0
hogan,1,1,0,5560,140,2,0.717039419636347
kinnear,9,1,0,12759,141,10,0.9906614971455943
heroes,6,2,4,12331,11847,12,0.5173591651119702
exploits,1,1,2,5561,10002,4,-0.5605023898633142
murder,4,19,10,11708,12871,33,-1.4718778867747502
bob,2,2,2,9838,10003,6,-0.01993691454450957
capitalizing,0,1,0,124,142,1,-2.9526083872878407e-16
technician,1,1,0,5562,143,2,0.5776378388899612
very,57,12,57,13376,13370,126,-0.1509599843537703
association,0,1,1,125,5621,2,-0.2059989777226038
relish,0,1,0,126,144,1,-3.905815146285435e-16
document,4,3,0,11709,145,7,0.7805134470845174
scottsdale,0,1,0,127,146,1,0.0
room,7,7,6,12517,12399,20,0.1075076246042282
dove,0,1,0,128,147,1,0.0
may,75,5,39,13396,13330,119,1.986484735733158
greg,1,1,1,5563,5622,3,-0.01558616926567482
having,11,8,10,12911,12872,29,0.09325673742238386
killed,1,12,1,5564,5623,14,-0.013659266214041779
turner,1,1,0,5565,148,2,0.5394151885901254
african,4,5,3,11710,11243,12,0.21376623688411617
wise,5,2,7,12090,12578,14,-0.5731811178390269
arms,1,3,1,5566,5624,5,-0.012857214408743392
recruits,0,3,0,129,149,3,0.0
no,65,22,130,13387,13420,217,-3.431640649118347
gabriel,0,1,0,130,150,1,0.0
experienced,2,1,2,9839,10004,5,-0.02375548093994465
project,8,2,12,12650,12989,22,-0.5197266366393387
michael,16,16,11,13105,12938,43,0.6679983170547801
secret,1,15,1,5567,5625,17,-0.012345965293239206
rock,10,3,15,12837,13098,28,-0.8069118637829112
oakes,0,1,0,131,151,1,0.0
act,10,4,14,12838,13073,28,-0.6016461357407552
terrorist,0,1,4,132,11848,5,-1.4787529787032656
city,7,14,7,12518,12579,28,-0.025566200164203613
idea,9,5,22,12760,13210,36,-1.9897323981656705
like,147,12,219,13427,13440,378,-3.5859456034529487
during,5,13,10,12091,12873,28,-0.6844810980090231
harvard,0,3,11,133,12939,14,-2.473418597435111
street,4,7,3,11711,11244,14,0.1400834173922743
place,17,9,13,13130,13030,39,0.3934442251007433
train,2,5,3,9840,11245,10,-0.31683333516369433
macht,0,1,0,134,152,1,0.0
anthony,1,2,6,5568,12400,9,-1.5025619216712425
wants,4,17,10,11712,12874,31,-1.3447761683154833
finish,7,1,6,12519,12401,14,0.17393044350800804
jake,1,4,0,5569,153,5,0.6189465146216931
was,38,28,69,13323,13392,135,-1.5986669801325877
sends,1,6,0,5570,154,7,0.5923021053570271
rescue,1,2,2,5571,10005,5,-0.42115296359587057
absolutely,9,1,6,12761,12402,16,0.6168827548296857
nine,0,1,1,135,5626,2,-0.39075809713366016
identity,2,5,1,9841,5627,8,0.3203329791493069
k,9,4,9,12762,12804,22,-0.041961912001375674
chris,4,4,8,11713,12709,16,-0.9019962638119275
so,110,21,178,13419,13433,309,-3.5184355484973993
hayes,0,1,0,136,155,1,0.0
imminent,0,1,0,137,156,1,-5.84442412432368e-16
hustler,1,2,1,5572,5628,4,-0.023193136842868715
let,3,4,13,11071,13031,20,-1.4947730653526137
agent,1,16,1,5573,5629,18,-0.009565396629646568
learn,2,6,2,9842,10006,10,-0.011080134290546453
fill,1,1,2,5574,10007,4,-0.324461524830831
talk,3,3,4,11072,11849,10,-0.21304330493127557
york,11,17,6,12912,12403,34,0.627418546673728
kidnap,0,4,0,138,157,4,0.0
had,20,10,37,13182,13323,67,-1.4239616339054142
cia,1,7,0,5575,158,8,0.5960675701046484
terrorists,0,1,1,139,5630,2,-0.6207163640006292
purchase,0,1,0,140,159,1,0.0
enemy,1,6,1,5576,5631,8,-0.016108675420452384
operation,0,3,0,141,160,3,0.0
nuclear,0,5,2,142,10008,7,-0.6654201868833286
brother,10,11,3,12839,11246,24,1.4706977037886775
american,33,14,9,13300,12805,56,2.4134596424079784
worked,4,1,5,11714,12172,10,-0.28041704712263205
coming,8,5,7,12651,12580,20,0.13329764600504665
what,127,23,98,13423,13410,248,1.249557584115427
twin,2,7,0,9843,161,9,0.7682937211764772
educated,0,2,0,143,162,2,0.0
days,6,5,15,12332,13099,26,-1.0078882670439724
hopkins,3,3,9,11073,12806,15,-1.6290060952558971
fiancee,0,4,0,144,163,4,0.0
agency,0,5,0,145,164,5,0.0
fbi,0,10,0,146,165,10,-1.063219254107415e-15
jonathan,1,2,0,5577,166,3,0.4832054233085989
ecks,0,1,7,147,12581,8,-0.5574899445531292
banderas,0,1,3,148,11247,4,-0.9300954919280449
liu,0,1,2,149,10009,3,-1.063094433667962
lucy,0,5,5,150,12173,10,-1.6809936884172714
device,0,2,1,151,5632,3,-0.2950866903500648
rogue,0,2,0,152,167,2,0.0
common,3,4,4,11074,11850,11,-0.20534204897112684
antonio,0,1,2,153,10010,3,-0.7807585813554172
developed,1,2,0,5578,168,3,0.25739283047881656
